"","x"
"1",8728.83105405406
"2",8728.83105405406
"3",8728.83105405406
"4",8728.83105405406
"5",8728.83105405406
"6",8728.83105405406
"7",8728.83105405406
"8",8728.83105405406
"9",8728.83105405406
"10",8728.83105405406
"11",8728.83105405406
"12",8728.83105405406
"13",8728.83105405406
"14",8728.83105405406
"15",8728.83105405406
"16",8728.83105405406
"17",8728.83105405406
"18",8728.83105405406
"19",8728.83105405406
"20",8728.83105405406
"21",8728.83105405406
"22",8728.83105405406
"23",8728.83105405406
"24",8728.83105405406
"25",8728.83105405406
"26",8728.83105405406
"27",8728.83105405406
"28",8728.83105405406
"29",8728.83105405406
"30",8728.83105405406
"31",8728.83105405406
"32",8728.83105405406
"33",8728.83105405406
"34",8728.83105405406
"35",8728.83105405406
"36",8728.83105405406
"37",8728.83105405406
"38",8728.83105405406
"39",8728.83105405406
"40",8728.83105405406
"41",8728.83105405406
"42",8728.83105405406
"43",8728.83105405406
"44",8728.83105405406
"45",8728.83105405406
"46",8728.83105405406
"47",8728.83105405406
"48",8728.83105405406
"49",8728.83105405406
"50",8728.83105405406
"51",8728.83105405406
"52",8728.83105405406
"53",8728.83105405406
"54",8728.83105405406
"55",8728.83105405406
"56",8728.83105405406
"57",8728.83105405406
"58",8728.83105405406
"59",8728.83105405406
"60",8728.83105405406
"61",8728.83105405406
"62",8728.83105405406
"63",8728.83105405406
"64",8728.83105405406
"65",8728.83105405406
"66",8728.83105405406
"67",8728.83105405406
"68",8728.83105405406
"69",8728.83105405406
"70",8728.83105405406
"71",8728.83105405406
"72",8728.83105405406
"73",8728.83105405406
"74",8728.83105405406
"75",8728.83105405406
"76",8728.83105405406
"77",8728.83105405406
"78",8728.83105405406
"79",8728.83105405406
"80",8728.83105405406
"81",8728.83105405406
"82",8728.83105405406
"83",8728.83105405406
"84",8728.83105405406
"85",8728.83105405406
"86",8728.83105405406
"87",8728.83105405406
"88",8728.83105405406
"89",8728.83105405406
"90",8728.83105405406
